number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_pos_weight_scale,params_weight_decay,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
13,0.8493150684931506,2026-04-15 08:26:18.323773,2026-04-15 08:26:27.052815,0 days 00:00:08.729042,64,0.1824822167636096,384,0.0011172465002379358,2,0.8045502870906344,0.0006006985402727013,0.8493150684931506,0.8611111111111112,0.8378378378378378,0.04236820712685585,COMPLETE
14,0.6829268292682927,2026-04-15 08:26:27.053054,2026-04-15 08:26:38.263024,0 days 00:00:11.209970,64,0.2581061180492501,384,0.0008253993609184694,2,0.8181471262085644,0.0009825601983660366,0.6829268292682927,0.6222222222222222,0.7567567567567568,0.014547919854521751,COMPLETE
15,0.5436893203883495,2026-04-15 08:26:38.263239,2026-04-15 08:26:44.775926,0 days 00:00:06.512687,32,0.10055961521892848,256,0.0017439271015690222,2,0.8877878427157715,0.0009270825046687654,0.5436893203883495,0.42424242424242425,0.7567567567567568,0.00046729439054615796,COMPLETE
16,0.8333333333333334,2026-04-15 08:26:44.776128,2026-04-15 08:26:52.759241,0 days 00:00:07.983113,64,0.16280075862964835,384,0.00028615744718644954,2,1.3427207072504064,0.00030490375828111024,0.8333333333333334,0.8571428571428571,0.8108108108108109,0.20953072607517242,COMPLETE
17,0.6078431372549019,2026-04-15 08:26:52.759465,2026-04-15 08:27:00.747935,0 days 00:00:07.988470,64,0.2350501175430818,128,0.00151763630755112,2,0.9026281776936318,5.5570592361438036e-05,0.6078431372549019,0.47692307692307695,0.8378378378378378,0.014282671734690666,COMPLETE
18,0.5714285714285714,2026-04-15 08:27:00.748157,2026-04-15 08:27:21.572396,0 days 00:00:20.824239,16,0.32252440249776415,384,0.00039308629620535154,2,1.04223970877344,0.0003802963463703743,0.5714285714285714,0.45901639344262296,0.7567567567567568,0.00821465253829956,COMPLETE
19,0.5765765765765766,2026-04-15 08:27:21.572725,2026-04-15 08:27:32.982914,0 days 00:00:11.410189,32,0.1647638630043855,256,0.002970773523852041,2,0.8286597282307124,1.0188656362779352e-06,0.5765765765765766,0.43243243243243246,0.8648648648648649,0.0001278809068026021,COMPLETE
20,0.7441860465116279,2026-04-15 08:27:32.983259,2026-04-15 08:27:46.758377,0 days 00:00:13.775118,64,0.4838284938788049,384,0.0006725577371969184,2,0.908849543573014,6.048968334024864e-05,0.7441860465116279,0.6530612244897959,0.8648648648648649,0.02067146636545658,COMPLETE
21,0.8533333333333334,2026-04-15 08:27:46.758722,2026-04-15 08:27:53.862290,0 days 00:00:07.103568,64,0.17116272656070813,384,0.001118698909927081,3,0.9651266452014025,2.4920857171149593e-05,0.8533333333333334,0.8421052631578947,0.8648648648648649,0.005278338678181171,COMPLETE
22,0.5263157894736842,2026-04-15 08:27:53.862712,2026-04-15 08:28:06.961607,0 days 00:00:13.098895,64,0.17336899190404845,384,0.001195802487849837,3,1.063901210264146,2.7809011261224505e-05,0.5263157894736842,0.5128205128205128,0.5405405405405406,0.009985502809286118,COMPLETE
