number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
64,0.6011615332352208,2026-04-12 21:10:27.353471,2026-04-12 21:10:39.247870,0 days 00:00:11.894399,200,1,2,0.6797227802283747,2.470695897141215,0.5021568138467979,0.024933920148010356,0.7927558293189614,4,7,900,1.2451743759388232,550,3,1,1.434447765289657,0.0015011035409952206,3.98718163036803,0.7358925132306636,0.6276960173084973,1.2451743759388232,4.303343295868971,dual_text,0.6447783805679662,0.7483924031257629,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
65,0.5994563251908116,2026-04-12 21:10:39.248180,2026-04-12 21:10:54.435782,0 days 00:00:15.187602,150,1,2,0.8572441157200839,2.8023164048422706,0.5821419427515779,0.03377008025908576,1.9177340872470638,2,9,1000,1.3521134584090047,400,3,2,1.674468848560328,0.008129901439386958,1.5245379852973224,0.7831744947599559,0.7276774284394725,1.3521134584090047,5.023406545680984,dual_text,0.5879381124209953,0.6566968560218811,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
66,0.6008334635257404,2026-04-12 21:10:54.436199,2026-04-12 21:11:11.051314,0 days 00:00:16.615115,250,1,1,0.5846649451496355,2.1424598815871314,0.7923557092567957,0.006553209949869404,1.0282842848092306,2,10,1300,1.451114900179422,500,2,2,1.8418925583331431,0.00026643903380936887,5.81069893993332,0.7123147756424913,0.9904446365709946,1.451114900179422,5.52567767499943,dual_text,0.6338427235852871,0.7147722840309143,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
67,0.6339628929938768,2026-04-12 21:11:11.051635,2026-04-12 21:11:24.672275,0 days 00:00:13.620640,150,2,2,0.7559917479893876,0.9852787635831812,0.674075669167445,0.018566288972916158,0.23968964317236977,2,8,700,1.2946137594955354,450,4,2,1.5227669444269152,0.000149734200726806,0.45271479063970227,0.8121680934169487,0.8425945864593063,1.2946137594955354,4.5683008332807455,dual_text,0.6192759203087097,0.6453171968460083,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
68,0.5667018282083002,2026-04-12 21:11:24.672507,2026-04-12 21:11:38.788459,0 days 00:00:14.115952,200,1,2,0.6621430470871894,3.0051041613197724,0.735993433326795,0.038734172806279124,1.505980077910582,3,6,1200,1.4255902111511065,400,3,2,1.6102965825462303,0.002367979953638658,2.35484737694606,0.6906572289996427,0.9199917916584938,1.4255902111511065,4.830889747638691,dual_text,0.5816032288338928,0.6309661865234375,0.7164179104477612,0.9230769230769231,0.5853658536585366,COMPLETE
69,0.5668764600463989,2026-04-12 21:11:38.788883,2026-04-12 21:11:49.393177,0 days 00:00:10.604294,150,1,2,0.7433213567001472,1.782734944535537,0.5579655171417698,0.021721733781783097,0.4797841557057006,2,9,800,1.4841384913483349,350,3,1,1.6527606895229146,0.01806983601977036,3.1868999524651205,0.8372186781311975,0.6974568964272122,1.4841384913483349,4.958282068568744,dual_text,0.5874242901038507,0.7004473805427551,0.7164179104477612,0.9230769230769231,0.5853658536585366,COMPLETE
70,0.6343663106271856,2026-04-12 21:11:49.393458,2026-04-12 21:12:04.719030,0 days 00:00:15.325572,150,1,2,0.6396996450940987,4.406702884864599,0.6194934951606369,0.008868473043757721,0.6021414371007047,2,10,1000,1.3968388609053695,450,3,2,1.5639437812916384,0.0005451703847010112,1.0195305213127066,0.7545045597580605,0.7743668689507961,1.3968388609053695,4.691831343874915,dual_text,0.6327231747523393,0.7634075880050659,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
71,0.6346481807732162,2026-04-12 21:12:04.719437,2026-04-12 21:12:19.282241,0 days 00:00:14.562804,150,1,2,0.6509594488518038,2.6612189125095926,0.6127914607898997,0.045647334816303994,1.681586559156827,2,4,1200,1.2058119380130956,400,3,2,1.7956886141918982,0.37681613458846147,1.5123068134431674,0.8183922287286084,0.7659893259873746,1.2058119380130956,5.387065842575694,dual_text,0.6421188462866904,0.7621208429336548,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
72,0.5998338964049693,2026-04-12 21:12:19.282473,2026-04-12 21:12:33.722782,0 days 00:00:14.440309,150,1,2,0.7078479309432212,2.6433251640506414,0.6360879129992998,0.04337493595742222,1.6781816237001868,2,2,1100,1.2281632423945525,400,3,2,1.8122690920337183,0.3395232674953149,1.3140266175777262,0.8532008930025581,0.7951098912491248,1.2281632423945525,5.436807276101155,dual_text,0.6005238195595846,0.7097577452659607,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
73,0.6004088538418453,2026-04-12 21:12:33.723117,2026-04-12 21:12:49.307685,0 days 00:00:15.584568,150,1,2,0.6845743773993546,2.4825551851598786,0.5999411872562699,0.02942661054232146,1.6001151853103726,2,4,1200,1.1768726911711913,400,3,2,1.885440783666901,0.04694964450378659,0.7007147387505774,0.8186345140773643,0.7499264840703374,1.1768726911711913,5.656322351000703,dual_text,0.6196890674554504,0.7426136136054993,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
74,0.6001526712667455,2026-04-12 21:12:49.308340,2026-04-12 21:13:05.151115,0 days 00:00:15.842775,150,1,2,0.6457020551833309,2.2104387705412982,0.7052312772601099,0.05113563141813474,1.957033737630843,2,3,1100,1.207182065817703,650,3,2,1.9444716790339875,1.2077500266221308,7.77777470038344,0.7936870886905723,0.8815390965751374,1.207182065817703,5.833415037101963,dual_text,0.6111496482854581,0.6590816378593445,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
