number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
60,0.7536231884057971,2026-04-14 12:01:47.848374,2026-04-14 12:01:49.367099,0 days 00:00:01.518725,0.0032279055486269127,200,1,2,isotonic,400,3,1,0.7536231884057971,0.9285714285714286,0.6341463414634146,0.7703468809,COMPLETE
61,0.782608695652174,2026-04-14 12:01:49.367304,2026-04-14 12:01:53.612720,0 days 00:00:04.245416,0.0015284781076989528,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.8490070375,COMPLETE
62,0.782608695652174,2026-04-14 12:01:53.613098,2026-04-14 12:01:57.628773,0 days 00:00:04.015675,0.0014392840145088562,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7652464495,COMPLETE
63,0.782608695652174,2026-04-14 12:01:57.629006,2026-04-14 12:02:01.535449,0 days 00:00:03.906443,0.0015025598481766002,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7652464495,COMPLETE
64,0.7647058823529411,2026-04-14 12:02:01.535641,2026-04-14 12:02:05.178712,0 days 00:00:03.643071,0.0021599244676480146,50,3,2,isotonic,400,4,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8981230553,COMPLETE
65,0.7272727272727273,2026-04-14 12:02:05.178901,2026-04-14 12:02:14.093358,0 days 00:00:08.914457,2.005919429789409,100,3,2,isotonic,300,2,2,0.7272727272727273,0.96,0.5853658536585366,0.9605352284,COMPLETE
66,0.7272727272727273,2026-04-14 12:02:14.093584,2026-04-14 12:02:18.549257,0 days 00:00:04.455673,0.0061070983494906205,150,3,2,isotonic,400,5,2,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
67,0.7714285714285715,2026-04-14 12:02:18.549468,2026-04-14 12:02:22.285485,0 days 00:00:03.736017,0.0014292921569623721,100,3,2,isotonic,300,4,2,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.7648578811,COMPLETE
68,0.7536231884057971,2026-04-14 12:02:22.285690,2026-04-14 12:02:26.150824,0 days 00:00:03.865134,0.002932732227330076,50,3,2,isotonic,400,5,2,0.7536231884057971,0.9285714285714286,0.6341463414634146,0.8599298599,COMPLETE
69,0.7272727272727273,2026-04-14 12:02:26.151140,2026-04-14 12:02:27.625968,0 days 00:00:01.474828,0.004584763721000046,100,3,2,isotonic,300,5,1,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
