feature,coef,abs_coef
tfidf_aux::erc20,-0.008505620093900301,0.008505620093900301
tfidf_readme::sh,-0.008497654818368484,0.008497654818368484
tfidf_readme::running,-0.008460655654881662,0.008460655654881662
tfidf_aux::ai,-0.008455166885136891,0.008455166885136891
tfidf_readme::string,-0.008420681089142719,0.008420681089142719
network_count,0.008392005225958024,0.008392005225958024
tfidf_aux::nodejs,-0.008385293707190605,0.008385293707190605
tfidf_readme::multiple,-0.008333849392463299,0.008333849392463299
tfidf_readme::private key,-0.008285431798202991,0.008285431798202991
has_executable_files,0.008268671283989759,0.008268671283989759
tfidf_readme::description,-0.008268389341591478,0.008268389341591478
tfidf_aux::address,-0.008261705317560524,0.008261705317560524
tfidf_aux::private,-0.008221478219635703,0.008221478219635703
tfidf_aux::cryptocurrency ethereum,-0.008201508179729923,0.008201508179729923
tfidf_readme::return,-0.008182088280735675,0.008182088280735675
tfidf_readme::logic,0.008154679675523208,0.008154679675523208
tfidf_readme::integration,-0.008149108228370502,0.008149108228370502
tfidf_aux::smart-contracts solidity,-0.008124169079780807,0.008124169079780807
tfidf_readme::core,-0.008108907639675951,0.008108907639675951
tfidf_aux::cli,-0.008080237488946592,0.008080237488946592
tfidf_aux::transaction,-0.008057026875594566,0.008057026875594566
tfidf_aux::blockchains,-0.008054022845428815,0.008054022845428815
tfidf_aux::library,-0.008023113435613927,0.008023113435613927
tfidf_readme::view,-0.008021102747814157,0.008021102747814157
tfidf_aux::javascript,-0.007998941354416823,0.007998941354416823
tfidf_readme::sentiment,0.007987616145655466,0.007987616145655466
tfidf_aux::game,-0.007969120086838082,0.007969120086838082
tfidf_readme::payment,-0.00793911122614652,0.00793911122614652
has_deploy_dir,-0.007925883512635457,0.007925883512635457
tfidf_aux::learning,-0.007924181311099355,0.007924181311099355
tfidf_readme::advanced,0.007916242820602578,0.007916242820602578
tfidf_readme::verify,-0.007886102195531505,0.007886102195531505
tfidf_aux::development,-0.007884083535163032,0.007884083535163032
tfidf_aux::create,-0.007804994202071511,0.007804994202071511
tfidf_aux::tools,-0.007794659055924119,0.007794659055924119
tfidf_aux::mint,-0.007774368455967501,0.007774368455967501
description_has_download_lure_keyword,-0.0077423484249545226,0.0077423484249545226
readme_has_badge,0.007731397366174196,0.007731397366174196
tfidf_readme::read,-0.00772492679094678,0.00772492679094678
tfidf_aux::crypto cryptocurrency,-0.00769958867400913,0.00769958867400913
tfidf_aux::binance,-0.0076490886308378395,0.0076490886308378395
tfidf_aux::node,-0.0076227239101198,0.0076227239101198
tfidf_readme::external,-0.007614361712684149,0.007614361712684149
has_brownie_config,0.007588317307346042,0.007588317307346042
has_migrations_dir,-0.0075757594498932586,0.0075757594498932586
tfidf_aux::assets,-0.007542909037312445,0.007542909037312445
tfidf_readme::npm run,-0.007526780422440678,0.007526780422440678
tfidf_aux::finance,-0.007476917529093329,0.007476917529093329
tfidf_aux::support,-0.0074455595221411385,0.0074455595221411385
tfidf_aux::crypto wallet,-0.00741572580820871,0.00741572580820871
tfidf_readme::python,-0.007397345004051902,0.007397345004051902
tfidf_aux::decentralized,-0.007392202561053751,0.007392202561053751
tfidf_aux::ethereum solidity,-0.007368009035689447,0.007368009035689447
tfidf_readme::platform,-0.007347155821734103,0.007347155821734103
tfidf_aux::ethereum wallet,-0.0073456036547032465,0.0073456036547032465
user_blog_matches_homepage_domain,0.00725351205772435,0.00725351205772435
tfidf_aux::multi-chain,-0.007247682791190328,0.007247682791190328
