study_idx,trial_number,value,state,param__tfidf_max_features,param__tfidf_min_df,param__tfidf_ngram_range,param__real_pos_weight_mult,param__gen_pos_weight_mult,param__neg_weight_mult,param__n_estimators,param__learning_rate,param__max_depth,param__min_child_weight,param__subsample,param__colsample_bytree,param__reg_alpha,param__reg_lambda,param__gamma,param__max_delta_step,attr__val_best_threshold,attr__val_f1,attr__val_precision,attr__val_recall,attr__val_ap,attr__actual_w_real_pos,attr__actual_w_generated_pos,attr__actual_w_neg,attr__tfidf_vocab_size
0,30,1.02,TrialState.COMPLETE,250,4,"(1, 1)",0.8832725877416375,0.9522086746379839,1.452661653623409,400,0.016132066663365703,2,4,0.66023934686834,0.6622014871463795,2.0253816327332815e-06,0.0033981277720594475,2.4260020420962847,3.4756024471588383,0.6819016337,1.0,1.0,1.0,1.0,2.6498177632249127,1.1902608432974797,1.452661653623409,250
0,33,1.02,TrialState.COMPLETE,350,2,"(1, 3)",1.1616274316725161,2.4446858155429996,1.6602726789378688,200,0.020096791906164098,4,6,0.9437925518897182,0.9516614040821576,2.6024538067445817e-08,4.411970375760298,1.5683741332050172,1.2586899742797288,0.7679173946,1.0,1.0,1.0,1.0,3.4848822950175484,3.0558572694287496,1.6602726789378688,350
0,28,1.02,TrialState.COMPLETE,450,1,"(1, 1)",0.9489531164497285,1.6774311989140949,0.926175079166905,900,0.10021037773615263,8,4,0.621903727905697,0.9144203744354307,0.001376753912638962,0.04994206314631766,3.52830543713393,4.500784500459978,0.8653652668,1.0,1.0,1.0,1.0000000000000002,2.8468593493491854,2.0967889986426185,0.926175079166905,450
0,20,1.02,TrialState.COMPLETE,350,5,"(1, 3)",1.518008529103738,0.5214333459462459,1.6183742651856952,800,0.07558430382560279,7,1,0.901195581533596,0.7730548945181863,1.561606919003924e-06,0.006413287291364983,2.2595261301343696,4.95738118264838,0.7170627117,1.0,1.0,1.0,0.9999999999999999,4.554025587311214,0.6517916824328074,1.6183742651856952,350
0,17,1.02,TrialState.COMPLETE,600,3,"(1, 2)",2.9864304055051427,0.5364973220741907,1.9590519796872365,1100,0.11385229582518759,5,2,0.9978630485513873,0.6911196109239529,0.00020794377078698557,1.0935892559063887,2.668396066961133,0.8430783449098916,0.7787683606,1.0,1.0,1.0,1.0,8.959291216515428,0.6706216525927383,1.9590519796872365,600
0,27,1.02,TrialState.COMPLETE,700,3,"(1, 2)",2.316677833345035,0.5864172653005457,1.8541718248356753,600,0.059313268779786446,4,2,0.7284722744031821,0.7775352543850991,7.773757957641447e-08,11.415727444203014,3.0037469780395707,2.005604466351146,0.3979506195,1.0,1.0,1.0,1.0,6.950033500035105,0.7330215816256822,1.8541718248356753,700
2,25,1.02,TrialState.COMPLETE,300,3,"(1, 2)",0.8061064067114906,0.5182293572929751,1.7022858399215801,400,0.059447790384207215,4,2,0.8339206950879876,0.552238136450014,0.00019819074580186837,0.2299793207195418,2.248006855699826,2.8474034672471245,0.8138734102,1.0,1.0,1.0,0.9999999999999999,2.418319220134472,0.6477866966162189,1.7022858399215801,300
2,27,1.02,TrialState.COMPLETE,450,1,"(1, 2)",0.5868576113875664,1.034807482992251,1.3519428094528607,900,0.14040588134154772,7,3,0.762749832666782,0.6393183289633106,1.41429499423443,0.07015788510671042,0.4866000611607689,4.4462130004790525,0.8950487375,1.0,1.0,1.0,0.9999999999999999,1.7605728341626992,1.2935093537403137,1.3519428094528607,450
2,29,1.02,TrialState.COMPLETE,550,2,"(1, 1)",0.7545504261995533,2.50675351930159,0.8926087302252241,500,0.02311275944043018,5,6,0.9288051190165993,0.591112199248434,0.21291061308989487,0.04795255924684673,4.994930630899463,0.3402205006443868,0.8301413059,1.0,1.0,1.0,1.0,2.26365127859866,3.1334418991269875,0.8926087302252241,550
2,33,1.02,TrialState.COMPLETE,750,1,"(1, 2)",0.7156429773054565,1.9758848006000262,1.0135420506883348,600,0.15420967549277503,6,3,0.7168383344972046,0.5916789184590556,2.441529002289142e-06,7.032536884674138,2.1415873746866385,4.707671976599656,0.6910168529,1.0,1.0,1.0,1.0,2.1469289319163694,2.469856000750033,1.0135420506883348,750
2,26,1.02,TrialState.COMPLETE,600,2,"(1, 2)",2.370953724931455,1.2686004704909586,0.7430252651100628,700,0.09515304552457401,5,4,0.8689001600093631,0.7150344051967493,0.0033476222966926984,7.382460310075209,1.3700587360243381,3.718188239422404,0.8644786477,1.0,1.0,1.0,1.0,7.112861174794364,1.5857505881136982,0.7430252651100628,600
2,23,1.02,TrialState.COMPLETE,450,2,"(1, 2)",0.5798425995113827,1.0508660554663432,1.2461671342763643,700,0.14326972605786478,7,4,0.7002728530476509,0.7545870242310697,0.05544040140586172,4.684363819955766,0.5772068743263865,3.5500637750970174,0.8240699172,1.0,1.0,1.0,1.0,1.7395277985341482,1.313582569332929,1.2461671342763643,450
2,22,1.02,TrialState.COMPLETE,250,2,"(1, 2)",0.6482509362906067,0.76786374532507,1.5627751623770967,800,0.088420473669204,6,2,0.6427185996993394,0.5797075069408439,0.0021932490173595383,1.7418644648649595,0.40905190089663757,4.605784639352917,0.8238571882,1.0,1.0,1.0,0.9999999999999999,1.94475280887182,0.9598296816563374,1.5627751623770967,250
2,21,1.02,TrialState.COMPLETE,200,2,"(1, 2)",0.5023468269294087,0.9289171758917546,1.300486428438918,600,0.10207093530709795,6,4,0.7358082011168622,0.6690087777194647,0.06258851022803659,1.9556982947265893,0.102093732674581,3.8940816931189604,0.8312654495,1.0,1.0,1.0,1.0,1.507040480788226,1.1611464698646932,1.300486428438918,200
