branch,text_unit,base_prob,ablated_prob,prob_drop
README,suggestions contact discord zldp 2002 disclaimer important use bot risk responsible losses incurred using bot.,0.9999990403443996,0.9999990403443996,0.0
README,example 10 sol wsol quote 0.1 +- jupiter wrap click manual set use wsol finally click manage convert sol wsol.,0.9999990403443996,0.9999990424324371,-2.088037520664443e-09
README,4.,0.9999990403443996,0.9999990431207474,-2.7763478183118195e-09
README,detailed steps provided read carefully.,0.9999990403443996,0.9999990509646427,-1.0620243129366713e-08
README,note want run test hour need retain sol gas fees paid sol.,0.9999990403443996,0.9999990614226005,-2.107820096242108e-08
README,program took months complete hope helpful looking snipe tokens solana note testing using wsol exchange token important sol transaction fees.,0.9999990403443996,0.9999990621553982,-2.1810998673821302e-08
README,rpc endpoint https rpc endpoint 4.,0.9999990403443996,0.9999990758822295,-3.5537829901066686e-08
README,setup run script need 1.,0.9999990403443996,0.9999990805589067,-4.0214507168734315e-08
AUX,error free requires careful reading use it.,0.9999990403443996,0.9999990876583645,-4.731396496815421e-08
README,private key wallet private key 3.,0.9999990403443996,0.999999103001319,-6.2656919430637e-08
